timestamp, utilization.gpu [%]
2018/10/11 15:13:01.429, 0 %
2018/10/11 15:13:01.432, 0 %
2018/10/11 15:13:01.437, 0 %
2018/10/11 15:13:01.440, 0 %
2018/10/11 15:13:01.444, 0 %
2018/10/11 15:13:01.446, 0 %
2018/10/11 15:13:01.450, 0 %
2018/10/11 15:13:01.452, 0 %
2018/10/11 15:13:01.454, 0 %
2018/10/11 15:13:01.458, 0 %
2018/10/11 15:13:01.460, 0 %
2018/10/11 15:13:01.463, 0 %
2018/10/11 15:13:02.465, 0 %
2018/10/11 15:13:02.465, 0 %
2018/10/11 15:13:02.466, 0 %
2018/10/11 15:13:02.466, 0 %
2018/10/11 15:13:02.467, 0 %
2018/10/11 15:13:02.467, 0 %
2018/10/11 15:13:02.468, 0 %
2018/10/11 15:13:02.468, 0 %
2018/10/11 15:13:02.470, 0 %
2018/10/11 15:13:02.471, 0 %
2018/10/11 15:13:02.472, 0 %
2018/10/11 15:13:02.472, 0 %
2018/10/11 15:13:03.473, 0 %
2018/10/11 15:13:03.473, 0 %
2018/10/11 15:13:03.474, 0 %
2018/10/11 15:13:03.474, 0 %
2018/10/11 15:13:03.474, 0 %
2018/10/11 15:13:03.475, 0 %
2018/10/11 15:13:03.475, 0 %
2018/10/11 15:13:03.476, 0 %
2018/10/11 15:13:03.476, 0 %
2018/10/11 15:13:03.477, 0 %
2018/10/11 15:13:03.477, 0 %
2018/10/11 15:13:03.478, 0 %
2018/10/11 15:13:04.478, 0 %
2018/10/11 15:13:04.485, 0 %
2018/10/11 15:13:04.485, 0 %
2018/10/11 15:13:04.486, 0 %
2018/10/11 15:13:04.487, 0 %
2018/10/11 15:13:04.487, 0 %
2018/10/11 15:13:04.488, 1 %
2018/10/11 15:13:04.490, 0 %
2018/10/11 15:13:04.490, 0 %
2018/10/11 15:13:04.491, 0 %
2018/10/11 15:13:04.492, 0 %
2018/10/11 15:13:04.493, 0 %
2018/10/11 15:13:05.494, 0 %
2018/10/11 15:13:05.494, 0 %
2018/10/11 15:13:05.494, 0 %
2018/10/11 15:13:05.494, 0 %
2018/10/11 15:13:05.495, 0 %
2018/10/11 15:13:05.495, 0 %
2018/10/11 15:13:05.495, 0 %
2018/10/11 15:13:05.496, 0 %
2018/10/11 15:13:05.496, 0 %
2018/10/11 15:13:05.497, 0 %
2018/10/11 15:13:05.497, 0 %
2018/10/11 15:13:05.497, 0 %
2018/10/11 15:13:06.497, 0 %
2018/10/11 15:13:06.498, 0 %
2018/10/11 15:13:06.498, 0 %
2018/10/11 15:13:06.498, 0 %
2018/10/11 15:13:06.499, 0 %
2018/10/11 15:13:06.499, 0 %
2018/10/11 15:13:06.499, 0 %
2018/10/11 15:13:06.500, 0 %
2018/10/11 15:13:06.500, 0 %
2018/10/11 15:13:06.501, 0 %
2018/10/11 15:13:06.501, 0 %
2018/10/11 15:13:06.501, 0 %
2018/10/11 15:13:07.501, 0 %
2018/10/11 15:13:07.502, 0 %
2018/10/11 15:13:07.502, 0 %
2018/10/11 15:13:07.502, 0 %
2018/10/11 15:13:07.503, 0 %
2018/10/11 15:13:07.503, 0 %
2018/10/11 15:13:07.503, 0 %
2018/10/11 15:13:07.505, 0 %
2018/10/11 15:13:07.505, 0 %
2018/10/11 15:13:07.506, 0 %
2018/10/11 15:13:07.506, 0 %
2018/10/11 15:13:07.506, 0 %
2018/10/11 15:13:08.506, 0 %
2018/10/11 15:13:08.507, 0 %
2018/10/11 15:13:08.507, 0 %
2018/10/11 15:13:08.507, 0 %
2018/10/11 15:13:08.508, 0 %
2018/10/11 15:13:08.508, 0 %
2018/10/11 15:13:08.508, 0 %
2018/10/11 15:13:08.509, 0 %
2018/10/11 15:13:08.509, 0 %
2018/10/11 15:13:08.510, 0 %
2018/10/11 15:13:08.510, 0 %
2018/10/11 15:13:08.510, 0 %
2018/10/11 15:13:09.511, 0 %
2018/10/11 15:13:09.511, 0 %
2018/10/11 15:13:09.511, 0 %
2018/10/11 15:13:09.511, 0 %
2018/10/11 15:13:09.512, 0 %
2018/10/11 15:13:09.512, 0 %
