timestamp, utilization.gpu [%]
2018/10/11 09:50:59.706, 0 %
2018/10/11 09:50:59.710, 0 %
2018/10/11 09:50:59.714, 0 %
2018/10/11 09:50:59.716, 0 %
2018/10/11 09:50:59.719, 0 %
2018/10/11 09:50:59.721, 0 %
2018/10/11 09:50:59.725, 0 %
2018/10/11 09:50:59.727, 0 %
2018/10/11 09:50:59.731, 0 %
2018/10/11 09:50:59.734, 0 %
2018/10/11 09:50:59.736, 0 %
2018/10/11 09:50:59.740, 0 %
2018/10/11 09:51:00.742, 0 %
2018/10/11 09:51:00.742, 0 %
2018/10/11 09:51:00.743, 0 %
2018/10/11 09:51:00.743, 0 %
2018/10/11 09:51:00.744, 0 %
2018/10/11 09:51:00.744, 0 %
2018/10/11 09:51:00.745, 0 %
2018/10/11 09:51:00.745, 0 %
2018/10/11 09:51:00.746, 0 %
2018/10/11 09:51:00.746, 0 %
2018/10/11 09:51:00.749, 0 %
2018/10/11 09:51:00.749, 0 %
2018/10/11 09:51:01.750, 0 %
2018/10/11 09:51:01.751, 0 %
2018/10/11 09:51:01.753, 0 %
2018/10/11 09:51:01.755, 0 %
2018/10/11 09:51:01.756, 0 %
2018/10/11 09:51:01.758, 0 %
2018/10/11 09:51:01.760, 0 %
2018/10/11 09:51:01.762, 0 %
2018/10/11 09:51:01.763, 0 %
2018/10/11 09:51:01.765, 0 %
2018/10/11 09:51:01.766, 0 %
2018/10/11 09:51:01.768, 0 %
2018/10/11 09:51:02.769, 0 %
2018/10/11 09:51:02.771, 0 %
2018/10/11 09:51:02.772, 0 %
2018/10/11 09:51:02.774, 0 %
2018/10/11 09:51:02.775, 0 %
2018/10/11 09:51:02.777, 0 %
2018/10/11 09:51:02.778, 0 %
2018/10/11 09:51:02.780, 0 %
2018/10/11 09:51:02.782, 0 %
2018/10/11 09:51:02.785, 0 %
2018/10/11 09:51:02.787, 0 %
2018/10/11 09:51:02.788, 0 %
2018/10/11 09:51:03.790, 0 %
2018/10/11 09:51:03.793, 0 %
2018/10/11 09:51:03.794, 0 %
2018/10/11 09:51:03.798, 0 %
2018/10/11 09:51:03.800, 0 %
2018/10/11 09:51:03.802, 0 %
2018/10/11 09:51:03.804, 1 %
2018/10/11 09:51:03.806, 0 %
2018/10/11 09:51:03.808, 0 %
2018/10/11 09:51:03.810, 0 %
2018/10/11 09:51:03.812, 0 %
2018/10/11 09:51:03.818, 0 %
2018/10/11 09:51:04.820, 0 %
2018/10/11 09:51:04.820, 0 %
2018/10/11 09:51:04.820, 0 %
2018/10/11 09:51:04.821, 0 %
2018/10/11 09:51:04.822, 0 %
2018/10/11 09:51:04.822, 0 %
2018/10/11 09:51:04.823, 100 %
2018/10/11 09:51:04.823, 0 %
2018/10/11 09:51:04.824, 0 %
2018/10/11 09:51:04.824, 0 %
2018/10/11 09:51:04.825, 0 %
2018/10/11 09:51:04.825, 0 %
2018/10/11 09:51:05.827, 0 %
2018/10/11 09:51:05.827, 0 %
