timestamp, utilization.gpu [%]
2018/10/11 10:37:31.648, 0 %
2018/10/11 10:37:31.652, 0 %
2018/10/11 10:37:31.655, 0 %
2018/10/11 10:37:31.657, 0 %
2018/10/11 10:37:31.659, 0 %
2018/10/11 10:37:31.665, 0 %
2018/10/11 10:37:31.671, 0 %
2018/10/11 10:37:31.673, 0 %
2018/10/11 10:37:31.676, 0 %
2018/10/11 10:37:31.678, 0 %
2018/10/11 10:37:31.680, 0 %
2018/10/11 10:37:31.682, 0 %
2018/10/11 10:37:32.685, 0 %
2018/10/11 10:37:32.685, 0 %
2018/10/11 10:37:32.686, 0 %
2018/10/11 10:37:32.686, 0 %
2018/10/11 10:37:32.687, 0 %
2018/10/11 10:37:32.687, 0 %
2018/10/11 10:37:32.689, 0 %
2018/10/11 10:37:32.690, 0 %
2018/10/11 10:37:32.691, 0 %
2018/10/11 10:37:32.692, 0 %
2018/10/11 10:37:32.692, 0 %
2018/10/11 10:37:32.693, 0 %
2018/10/11 10:37:33.693, 0 %
2018/10/11 10:37:33.693, 0 %
2018/10/11 10:37:33.694, 0 %
2018/10/11 10:37:33.694, 0 %
2018/10/11 10:37:33.695, 0 %
2018/10/11 10:37:33.695, 0 %
2018/10/11 10:37:33.696, 0 %
2018/10/11 10:37:33.696, 0 %
2018/10/11 10:37:33.699, 0 %
2018/10/11 10:37:33.699, 0 %
2018/10/11 10:37:33.700, 0 %
2018/10/11 10:37:33.700, 0 %
2018/10/11 10:37:34.700, 0 %
2018/10/11 10:37:34.703, 0 %
2018/10/11 10:37:34.704, 0 %
2018/10/11 10:37:34.706, 0 %
2018/10/11 10:37:34.708, 0 %
2018/10/11 10:37:34.710, 0 %
2018/10/11 10:37:34.712, 0 %
2018/10/11 10:37:34.715, 0 %
2018/10/11 10:37:34.717, 0 %
2018/10/11 10:37:34.719, 0 %
2018/10/11 10:37:34.720, 0 %
2018/10/11 10:37:34.721, 0 %
2018/10/11 10:37:35.723, 0 %
2018/10/11 10:37:35.724, 0 %
2018/10/11 10:37:35.727, 0 %
2018/10/11 10:37:35.729, 0 %
2018/10/11 10:37:35.731, 0 %
2018/10/11 10:37:35.733, 0 %
2018/10/11 10:37:35.735, 0 %
2018/10/11 10:37:35.737, 0 %
2018/10/11 10:37:35.739, 0 %
2018/10/11 10:37:35.741, 0 %
2018/10/11 10:37:35.742, 0 %
2018/10/11 10:37:35.744, 0 %
2018/10/11 10:37:36.747, 0 %
2018/10/11 10:37:36.748, 0 %
2018/10/11 10:37:36.749, 0 %
2018/10/11 10:37:36.752, 0 %
2018/10/11 10:37:36.754, 0 %
2018/10/11 10:37:36.756, 0 %
2018/10/11 10:37:36.759, 2 %
2018/10/11 10:37:36.761, 0 %
2018/10/11 10:37:36.763, 0 %
2018/10/11 10:37:36.765, 0 %
2018/10/11 10:37:36.767, 0 %
2018/10/11 10:37:36.770, 0 %
